1760636215220,-0.26816985,-0.11927144,-0.4089743
1760636215222,-0.23640485,-0.1282817,-0.4382958
1760636215224,-0.2096795,-0.1518,-0.46395215
1760636215227,-0.19074267,-0.19700404,-0.49220467
1760636215229,-0.17577648,-0.26053402,-0.52396965
1760636215231,-0.16615535,-0.34208453,-0.5534439
1760636215233,-0.16768251,-0.4428773,-0.5879578
1760636215235,-0.17592919,-0.5703954,-0.6198755
1760636215238,-0.1919644,-0.7281514,-0.647059
1760636215240,-0.2133447,-0.9126327,-0.6754643
1760636215242,-0.24709499,-1.1078042,-0.6965391
1760636215244,-0.28955013,-1.3052663,-0.711658
1760636215247,-0.33460143,-1.5076154,-0.72173727
1760636215249,-0.38820487,-1.7171422,-0.71959925
1760636215251,-0.44700065,-1.9399554,-0.7115053
1760636215254,-0.5122105,-2.174833,-0.6910413
1760636215256,-0.5748242,-2.4121542,-0.6597345
1760636215258,-0.6388123,-2.6568058,-0.623388
1760636215260,-0.70386946,-2.892905,-0.5847508
1760636215263,-0.763887,-3.1096096,-0.549626
1760636215265,-0.82833326,-3.3044755,-0.5169447
1760636215267,-0.88117313,-3.4652858,-0.495259
1760636215269,-0.93584555,-3.5824192,-0.48197266
1760636215272,-0.98883814,-3.6630535,-0.47601673
1760636215274,-1.0422888,-3.7071884,-0.47128254
1760636215276,-1.0929906,-3.7161987,-0.4700608
1760636215278,-1.1455251,-3.6983309,-0.46395215
1760636215281,-1.1890492,-3.6526687,-0.44929138
1760636215283,-1.2322679,-3.5813503,-0.42959097
1760636215285,-1.2689198,-3.4860551,-0.4196644
1760636215288,-1.3028228,-3.378543,-0.41218132
1760636215290,-1.3267993,-3.2565227,-0.41080686
1760636215292,-1.3458889,-3.1334333,-0.40576723
1760636215295,-1.3573426,-3.0068314,-0.40317106
1760636215297,-1.3617713,-2.8875601,-0.410196
1760636215299,-1.3626876,-2.795014,-0.42485678
1760636215301,-1.3581061,-2.7307203,-0.44425175
1760636215303,-1.3504703,-2.7076602,-0.47357327
1760636215306,-1.3348932,-2.7333164,-0.50900346
1760636215308,-1.3190107,-2.8113546,-0.5543602
1760636215310,-1.3049608,-2.9330695,-0.6072
1760636215312,-1.2977833,-3.0961704,-0.6649268
1760636215315,-1.2959507,-3.2893567,-0.72387534
1760636215317,-1.3017539,-3.4994943,-0.7805331
1760636215319,-1.3101532,-3.7169623,-0.8321512
1760636215321,-1.3234396,-3.9307652,-0.88270026
1760636215324,-1.3391694,-4.1431937,-0.92087936
1760636215326,-1.3594806,-4.342183,-0.95310247
1760636215328,-1.3771957,-4.527886,-0.9766208
1760636215330,-1.3935363,-4.7064114,-0.98792183
1760636215332,-1.4059063,-4.8679852,-0.98563105
1760636215335,-1.4091134,-5.005277,-0.9663888
1760636215337,-1.4036156,-5.128214,-0.9335548
1760636215339,-1.3918564,-5.2500815,-0.8933904
1760636215342,-1.3739886,-5.3672147,-0.84696466
1760636215344,-1.3509285,-5.477018,-0.7958047
1760636215346,-1.3228287,-5.579796,-0.74464476
1760636215348,-1.2996159,-5.6677604,-0.6957755
1760636215351,-1.273654,-5.747173,-0.64461553
1760636215353,-1.2547172,-5.8096337,-0.5920811
1760636215355,-1.2370021,-5.8598776,-0.5358815
1760636215358,-1.2226468,-5.897904,-0.4784602
1760636215360,-1.2105823,-5.9212694,-0.42103887
1760636215362,-1.2070698,-5.9322653,-0.36468655
1760636215364,-1.2081387,-5.932418,-0.31337386
1760636215366,-1.2140946,-5.9250875,-0.2669481
1760636215369,-1.215011,-5.908136,-0.2228131
1760636215371,-1.2220359,-5.8885884,-0.18127427
1760636215373,-1.2275337,-5.860641,-0.13958271
1760636215376,-1.2331842,-5.8239894,-0.10048734
1760636215378,-1.2374603,-5.792377,-0.06490443
1760636215380,-1.2452488,-5.746104,-0.03191771
1760636215382,-1.2505939,-5.6986094,0.0
1760636215384,-1.2609786,-5.657223,0.023365596
1760636215387,-1.2713633,-5.615684,0.038026363
1760636215389,-1.2857187,-5.5814757,0.049021937
1760636215391,-1.2986995,-5.5472674,0.04917465
1760636215394,-1.3130548,-5.52268,0.04062254
1760636215396,-1.3298537,-5.4956493,0.023518313
1760636215398,-1.3518448,-5.475796,-0.0021380284
1760636215400,-1.3761266,-5.45579,-0.043676864
