1760636297771,1000.0802
1760636297787,1000.0855
1760636297807,1000.0667
1760636297827,1000.2919
1760636297847,1001.0122
1760636297868,1001.4158
1760636297888,1001.84515
1760636297908,1001.8263
1760636297927,1001.4008
1760636297947,1001.128
1760636297967,1001.0055
1760636297987,1000.84644
1760636298007,1000.3611
1760636298028,999.7081
1760636298048,999.1172
1760636298068,998.8241
1760636298087,998.8277
1760636298107,998.84766
1760636298127,998.8674
1760636298148,998.8769
1760636298167,998.8927
1760636298187,998.9003
1760636298208,998.91473
1760636298228,998.9222
1760636298248,998.943
1760636298267,998.96924
1760636298287,998.9569
1760636298307,998.9794
1760636298327,998.97925
1760636298348,998.98035
1760636298368,998.9989
1760636298388,998.98535
1760636298407,999.02765
1760636298427,999.0311
1760636298447,999.04767
1760636298467,999.0613
1760636298487,999.0702
1760636298507,999.0836
1760636298528,999.0788
1760636298549,999.1119
1760636298567,999.1285
1760636298588,999.133
1760636298608,999.1383
1760636298628,999.16846
1760636298648,999.1277
1760636298668,999.16425
1760636298688,999.2525
1760636298708,999.3791
1760636298727,999.3627
1760636298747,999.3278
1760636298767,999.3705
1760636298787,999.36237
1760636298807,999.3157
1760636298828,999.2397
1760636298848,999.2211
1760636298868,999.2044
1760636298887,999.1514
1760636298907,999.1594
1760636298927,999.15784
1760636298948,999.18567
1760636298967,999.1824
1760636298987,999.2175
1760636299008,999.2522
1760636299028,999.2141
1760636299049,999.22815
1760636299068,999.3928
1760636299087,999.5119
1760636299107,999.778
1760636299128,999.97974
1760636299147,1000.0138
1760636299170,1000.23047
1760636299188,1000.42456
1760636299208,1000.35156
1760636299227,1000.1978
1760636299247,999.8799
1760636299267,999.6246
1760636299288,999.5169
1760636299307,999.33453
1760636299328,999.2078
1760636299348,999.16034
1760636299368,999.2006
1760636299387,999.1931
1760636299407,999.21375
1760636299427,999.1811
1760636299447,999.1917
1760636299470,999.2005
1760636299488,999.2197
1760636299508,999.22284
1760636299530,999.22015
1760636299547,999.2063
1760636299568,999.2108
1760636299587,999.28595
1760636299607,999.2711
1760636299627,999.29767
1760636299648,999.28375
1760636299669,999.29895
1760636299691,999.28174
1760636299707,999.22375
1760636299727,999.2511
1760636299747,999.27313
1760636299767,999.3066
1760636299787,999.3261
1760636299807,999.3239
1760636299828,999.3686
1760636299848,999.3872
1760636299868,999.4016
1760636299887,999.4205
1760636299907,999.41064
1760636299927,999.4324
1760636299947,999.4355
1760636299968,999.42676
1760636299988,999.42505
1760636300008,999.4402
1760636300029,999.40625
1760636300047,999.4658
1760636300067,999.4925
1760636300087,999.5099
1760636300108,999.4822
1760636300128,999.4974
1760636300148,999.4694
1760636300168,999.3777
1760636300188,999.43207
1760636300207,999.41437
1760636300227,999.41376
1760636300247,999.4435
1760636300267,999.42737
1760636300287,999.41504
1760636300307,999.40656
1760636300328,999.41205
1760636300348,999.4283
1760636300368,999.4383
1760636300387,999.4247
1760636300408,999.4513
1760636300427,999.4405
1760636300448,999.4531
1760636300467,999.446
1760636300488,999.4572
1760636300508,999.4378
1760636300527,999.4719
1760636300548,999.45483
1760636300568,999.4814
1760636300587,999.4966
1760636300608,999.5027
1760636300628,999.48706
1760636300648,999.5095
1760636300668,999.5042
1760636300688,999.5197
1760636300707,999.5311
1760636300727,999.5085
1760636300748,999.5138
1760636300767,999.5749
1760636300788,999.5563
1760636300808,999.52704
1760636300829,999.51337
1760636300848,999.5233
1760636300867,999.5602
1760636300887,999.5408
1760636300907,999.53815
1760636300928,999.553
1760636300947,999.8677
1760636300968,999.55347
1760636300988,999.5272
1760636301008,999.5649
1760636301028,999.5889
1760636301048,999.5759
1760636301068,999.5625
1760636301088,999.54425
1760636301108,999.59644
1760636301130,999.6397
1760636301148,999.64343
1760636301169,999.66284
1760636301187,999.6349
1760636301207,999.54987
1760636301227,999.5447
1760636301247,999.5588
1760636301267,999.5078
1760636301288,999.53296
1760636301308,999.5347
1760636301329,999.5634
1760636301347,999.60504
1760636301368,999.6241
1760636301388,999.59204
1760636301407,999.60114
1760636301428,999.55316
1760636301448,999.5522
1760636301468,999.5638
1760636301488,999.5683
1760636301509,999.555
1760636301528,999.5677
1760636301547,999.5689
1760636301568,999.5731
1760636301588,999.58203
1760636301608,999.5614
1760636301628,999.5522
1760636301648,999.548
1760636301668,999.5433
1760636301687,999.54315
1760636301711,999.5638
1760636301727,999.5627
1760636301747,999.6266
1760636301767,999.64484
1760636301787,999.66815
1760636301808,999.61676
1760636301828,999.60034
1760636301847,999.5602
1760636301867,999.59033
1760636301887,999.59424
1760636301907,999.6208
1760636301927,999.61456
1760636301947,999.6336
1760636301968,999.6341
1760636301989,999.6461
1760636302007,999.6271
1760636302027,999.60187
1760636302047,999.555
1760636302067,999.5633
1760636302087,999.5549
1760636302108,999.5347
1760636302128,999.5102
1760636302149,999.52985
1760636302168,999.5181
1760636302188,999.5605
1760636302207,999.5741
1760636302228,999.5455
1760636302247,999.5455
1760636302267,999.5644
1760636302288,999.5447
1760636302308,999.53064
1760636302329,999.5
1760636302347,999.4902
1760636302367,999.54456
1760636302387,999.5283
1760636302407,999.5713
1760636302427,999.5827
1760636302448,999.5794
1760636302469,999.54614
1760636302489,999.5586
1760636302507,999.59094
1760636302528,999.5502
1760636302548,999.5752
1760636302568,999.59674
1760636302588,999.59784
1760636302608,999.54987
1760636302628,999.561
1760636302648,999.5627
1760636302668,999.5788
1760636302687,999.61395
1760636302707,999.608
1760636302727,999.58234
1760636302747,999.5749
1760636302767,999.5602
1760636302788,999.59125
1760636302808,999.6136
1760636302827,999.59
1760636302847,999.5864
1760636302867,999.60925
1760636302906,999.58875
1760636302908,999.5702
1760636302928,999.55457
1760636302948,999.54004
1760636302968,999.55035
1760636302988,999.5844
1760636303007,999.60266
1760636303028,999.6294
1760636303048,999.71094
1760636303068,999.6409
1760636303088,999.61426
1760636303108,999.6406
1760636303129,999.67145
1760636303148,999.718
1760636303168,999.73016
1760636303187,999.7489
1760636303207,999.68567
1760636303227,999.66034
1760636303247,999.7083
