1760638110961,-2.7188447,-14.135001,1.6863418
1760638110964,-2.7122645,-14.014762,1.3776677
1760638110966,-2.8223343,-13.757534,1.0731809
1760638110968,-2.7266214,-13.430914,0.3702893
1760638110970,-2.9186454,-13.00858,-0.20997019
1760638110972,-2.9790642,-12.634702,-1.2789637
1760638110974,-3.1567314,-12.168699,-2.2761726
1760638110976,-3.199204,-11.584252,-3.2506495
1760638110979,-3.4803605,-11.048261,-4.3722854
1760638110981,-3.9852462,-10.561321,-5.588437
1760638110984,-4.7581277,-10.189836,-6.704091
1760638110985,-5.5076795,-9.83809,-7.5212398
1760638110988,-6.0323057,-9.401401,-7.456035
1760638110991,-6.4965134,-9.067601,-7.1766734
1760638110993,-6.6741805,-8.9210415,-6.9589267
1760638110994,-6.5868425,-8.817552,-6.527022
1760638110997,-6.227919,-8.682357,-5.5022955
1760638110999,-6.003592,-8.626724,-4.3064823
1760638111001,-5.7409797,-8.600403,-3.0681968
1760638111004,-5.2863436,-8.428718,-1.881955
1760638111005,-4.9310093,-8.197212,-0.8668
1760638111008,-4.8789654,-7.969894,0.096311115
1760638111010,-4.6558347,-7.7120676,1.0301101
1760638111012,-4.3471603,-7.459625,1.7748762
1760638111015,-4.1922255,-7.300502,2.3868406
1760638111017,-3.8925242,-7.307082,2.8660033
1760638111019,-3.7968113,-7.257431,3.3834512
1760638111021,-3.8434713,-7.2089763,3.7106698
1760638111023,-3.8602211,-7.0935225,3.8099718
1760638111026,-3.8386858,-6.955337,3.8901315
1760638111028,-3.760321,-6.8219376,3.9756749
1760638111030,-3.60718,-6.743572,4.06062
1760638111032,-3.5042887,-6.5868425,4.093521
1760638111035,-3.5593238,-6.4606214,3.903292
1760638111037,-3.656233,-6.2805614,3.6753755
1760638111039,-3.7674992,-6.1244297,3.423531
1760638111042,-3.807579,-5.964709,3.2045877
1760638111044,-3.7950168,-5.776872,2.9431717
1760638111046,-3.735196,-5.5950174,2.6482565
1760638111049,-3.731607,-5.4017973,2.268396
1760638111051,-3.7794633,-5.1409793,1.9974087
1760638111053,-3.7238302,-4.9202414,1.6977077
1760638111055,-3.6490545,-4.738387,1.3980067
1760638111057,-3.731607,-4.558925,1.0989038
1760638111060,-3.799204,-4.345366,0.76630145
1760638111062,-3.815954,-4.195216,0.42891344
1760638111064,-3.8697925,-4.0211387,0.16271193
1760638111066,-3.8763726,-3.8380876,-0.05623133
1760638111069,-3.845266,-3.6699917,-0.29850462
1760638111071,-3.7896328,-3.4833515,-0.47916272
1760638111073,-3.7100716,-3.278167,-0.4989035
1760638111075,-3.6933217,-3.1244283,-0.48993045
1760638111078,-3.675974,-2.937788,-0.47138608
